ivType,securityIdentifier,securityName,finalMaturityDate,securityRedemptionPrice,interestRt,ioHybridField,as400RateType,prospectiveMethod,defIndicator,securityPrice,fxRate,portfolioNumber,portfolioName,reportDate, earnedInflationaryCompensationBase , accruedIncome , marketValue , shareParAmount , earnedAmortizationBase , positionValInflationAdjShares ,derRedemptionDate,derRedemptionPrice,derCleanPrice,derSecurityType,derTIPSInflationaryRatio,derStepIndicator,derHybridIndicator,deryieldCalcEngine, derincomeCalcEngine ,derOneDaySecurityYield,derOneDaySecurityIncome
VPS,912828TE0,USTN TII .125% 7/15/22,2022-07-15,100,0.125,,F,,N,102.4163011,1,30,FUND 30,2014-12-01,-1244.0000,7653.5200,15925734.8200,15550000.0000,-408.3800,16094250.0000,2022-07-15,100,98.95294792,TIPS,1.035,F,F,YTM,TIPS INCOME ENGINE,0.0026,-1127.2200
VPS,912828UH1,USTN TII .125 1/15/23,2023-01-15,100,0.125,,F,,N,101.1089046,1,30,FUND 30,2014-12-01,-1016.0000,6227.5300,12840830.8800,12700000.0000,-283.0100,13095605.0000,2023-01-15,100,98.05450672,TIPS,1.03115,F,F,YTM,TIPS INCOME ENGINE,0.0037,-884.5500
VPS,912828UX6,USTN TII .125% 04/15/18,2018-04-15,100,0.125,,F,,N,104.0500138,1,30,FUND 30,2014-12-01,-820.0000,1739.6400,10665126.4100,10250000.0000,-242.7200,10553810.0000,2018-04-15,100,101.054751,TIPS,1.02964,F,F,YTM,TIPS INCOME ENGINE,-0.0019,-875.3000
VPS,912828VM9,USTN TII .375% 07/15/23,2023-07-15,100,0.375,,F,,N,102.4907367,1,30,FUND 30,2014-12-01,-928.0000,16925.4000,11888925.4600,11600000.0000,13.9300,11863900.0000,2023-07-15,100,100.2109379,TIPS,1.02275,F,F,YTM,TIPS INCOME ENGINE,0.0035,-812.2000
VPS,912828WU0,USTN TII 0.125% 07/15/24,2024-07-15,100,0.125,,F,,N,97.5832657,1,30,FUND 30,2014-12-01,-1496.0000,8913.8300,18248070.6900,18700000.0000,114.9000,18744506.0000,2024-07-15,100,97.35156897,TIPS,1.00238,F,F,YTM,TIPS INCOME ENGINE,0.0041,-1290.1400
VPS,BBDR7T2,UK GILT I/L 0.125 11/22/1,2019-11-22,100,0.125,,F,,N,110.5044636,0.6353442,31,FUND 31,2014-12-01, -   ,353.9400,11326707.5200,10250000.0000, -   ,10250000.0000,2019-11-22,100,110.5044636,TIPS,1,F,F,YTM,TIPS INCOME ENGINE,-0.0188,-930.7100
VPS,B85SFQ5,UK GILT I/L 3MO 0.125 3/2,2024-03-22,100,0.125,,F,,N,116.3048535,0.6353442,31,FUND 31,2014-12-01, -   ,4265.8800,20237044.5100,17400000.0000, -   ,17400000.0000,2024-03-22,100,116.3048535,TIPS,1,F,F,YTM,TIPS INCOME ENGINE,-0.0150,-1327.9600
VPS,912810RF7,USTN TII 1.375% 02/15/44,2044-02-15,100,1.375,,F,,N,113.2000297,1,32,FUND 32,2014-12-01,-1737.3600,90326.1000,24583650.4500,21717000.0000,-232.9600,22178486.2500,2044-02-15,100,110.8445823,TIPS,1.02125,F,F,YTM,TIPS INCOME ENGINE,0.0095,-1086.9500
VPS,BBDR7T2,UK GILT I/L 0.125 11/22/1,2019-11-22,100,0.125,,F,,N,110.5044636,0.6353442,33,FUND 33,2014-12-01, -   ,500.6900,16023147.2200,14500000.0000, -   ,14500000.0000,2019-11-22,100,110.5044636,TIPS,1,F,F,YTM,TIPS INCOME ENGINE,-0.0188,-1316.6100
VPS,B85SFQ5,UK GILT I/L 3MO 0.125 3/2,2024-03-22,100,0.125,,F,,N,116.3048535,0.6353442,33,FUND 33,2014-12-01, -   ,4780.7300,22679446.4300,19500000.0000, -   ,19500000.0000,2024-03-22,100,116.3048535,TIPS,1,F,F,YTM,TIPS INCOME ENGINE,-0.0150,-1488.2300
